product_id,product_name,category,description,price,cost,stock_quantity,sku,brand,created_date,is_active
1,Customizable fault-tolerant knowledge user Deluxe,Electronics,"Forward science deep. Model else low role center recognize adult. Town money eight art customer recent even let.
Home even system process.
Fall third hit. Meet report tough machine others because.",229.34,122.77,117,SKU-8404-MAR,Perez-Peterson,2025-04-05,True
2,Devolved background superstructure Pro,Books,Whether partner personal dinner drive check wife. Forget my deal catch must son television finally. Travel involve training show prevent north citizen.,13.14,4.3,16,SKU-2312-FAY,"Jensen, Obrien and Salazar",2025-06-19,True
3,Focused systemic algorithm Premium,Sports & Outdoors,"Read live maybe painting. Contain hold listen clearly difficult impact. Understand wear development.
At until worry term majority. Term thought into simply part station.",76.42,43.38,109,SKU-0347-MJY,Murray-Henderson,2025-06-25,True
4,Business-focused system-worthy model Basic,Pet Supplies,"Stop later reveal both single visit receive. Hotel food agent law.
Bed food possible represent clearly run before. Plant be religious risk window partner civil.",725.0,354.57,401,SKU-7780-TPH,Chapman Group,2025-04-28,False
5,Organic attitude-oriented policy Premium,Clothing,Each natural people. Star debate continue area give certainly allow. Study fear turn any indicate condition public. Produce record occur no whom see growth along.,808.64,273.94,220,SKU-3390-DSX,"Rice, Miller and Ramsey",2025-06-22,True
6,Triple-buffered executive interface Standard,Electronics,"Employee offer perhaps until pass market. Marriage space this discussion fact cover brother let. Scene debate past increase. Free night point.
Real effort attack feel nearly.
Rate game right pattern.",427.03,243.13,330,SKU-7027-EUO,"Huang, Ford and Olsen",2025-10-18,True
7,Centralized multi-state framework Deluxe,Clothing,"New affect officer forward trouble somebody. Wide exactly all worker. Move coach paper cost bring site final tax.
Including market down later week.",66.24,26.46,97,SKU-1823-XBO,Reeves-Boyd,2024-11-14,False
8,Balanced systemic policy Premium,Sports & Outdoors,"Level animal minute probably fine officer. Police decide customer expert mother.
Evening church boy when. Method deal go five center region exist. Commercial find throughout music anything.",145.33,70.49,447,SKU-7954-KGW,"Lamb, Miller and Livingston",2025-08-19,True
9,Re-contextualized clear-thinking array Basic,Clothing,"Lay range report let. Water century time election guy. Record professor small think.
Air little goal leave color should page. Meet if research blood. Power society mouth husband including per nature.",446.46,142.97,276,SKU-9196-KPU,"Brown, Robinson and Taylor",2025-06-13,True
10,Versatile scalable workforce Premium,Home & Garden,"Produce laugh factor past.
Day theory feel some quickly. Response trip wrong old particularly member. System artist too whose.
Star grow technology tend dog reduce hour.",969.17,448.3,246,SKU-2126-OZW,"Conrad, Hanson and Gibson",2025-04-17,True
11,Organized human-resource help-desk Pro,Home & Garden,Interesting account marriage room. Especially unit office almost also low happy.,865.45,390.83,199,SKU-9494-BUP,"Jackson, Williams and Mooney",2025-09-05,True
12,Secured 4thgeneration forecast Standard,Sports & Outdoors,"Camera baby six edge. Exactly tax add born company option character land. End red machine son.
Worker whose other start study sell.",926.95,434.93,490,SKU-7658-VBD,"Walsh, Blanchard and Reynolds",2025-10-15,False
13,Future-proofed full-range flexibility Deluxe,Books,"Effort once leave push. Same open crime front real.
Natural pull story activity best billion. Goal rise edge alone people arm order.",159.86,109.9,296,SKU-1746-WVY,Scott-Norman,2025-02-22,True
14,Centralized homogeneous info-mediaries Pro,Electronics,"Election spend concern attorney. Particular condition man century shoulder. Pass blood kid else alone.
Road since affect marriage present a also. Entire record toward off middle vote.",749.48,399.98,257,SKU-4328-BMV,Evans Group,2025-10-07,True
15,Self-enabling system-worthy help-desk Basic,Clothing,"Those just country along. Rest or majority. Society poor matter who.
Already argue skin. If deep president. Learn question them chance often under already.",62.53,40.05,35,SKU-9291-DDP,"Lloyd, Walker and Brock",2025-04-17,True
16,User-centric systematic initiative Premium,Health & Beauty,Wish office case student. Share or friend building center. Collection have close during old card.,677.15,235.62,455,SKU-4560-RHG,Downs Inc,2025-06-27,True
17,Virtual needs-based middleware Pro,Pet Supplies,Show process everybody create someone rate why. Marriage civil two approach hair decide edge.,581.44,193.5,336,SKU-9726-LEO,"Lee, Howard and Nelson",2025-03-15,True
18,Automated system-worthy open system Premium,Toys & Games,Carry surface learn commercial gas. Page smile point particularly color.,935.09,369.8,202,SKU-6867-ZZW,Chavez and Sons,2024-12-13,True
